event_id,event_date,event_year,event_month,event_day_of_year,country_name,country_code,admin_division_name,state_normalized,is_ner,latitude,longitude,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,event_title,location_description
5271,2013-08-04 00:00:00,2013,8,216,India,IN,Nāgāland,Nagaland,True,26.284,94.5808,landslide,continuous_rain,medium,unknown,,,"Nanga, Nagaland","Nanga, Nagaland"
5269,2013-08-04 00:00:00,2013,8,216,India,IN,Nāgāland,Nagaland,True,25.8376,94.5234,landslide,continuous_rain,medium,unknown,,,"Tizu, Nagaland","Tizu, Nagaland"
5270,2013-08-04 00:00:00,2013,8,216,India,IN,Nāgāland,Nagaland,True,26.0481,94.4619,landslide,continuous_rain,medium,unknown,,,"Phizo, Nagaland","Phizo, Nagaland"
5273,2013-08-04 00:00:00,2013,8,216,India,IN,Nāgāland,Nagaland,True,26.1807,94.5497,landslide,monsoon,medium,unknown,,,"Zhekuto, Nagaland","Zhekuto, Nagaland"
5274,2013-08-04 00:00:00,2013,8,216,India,IN,Nāgāland,Nagaland,True,26.0838,94.564,landslide,rain,medium,unknown,,,"Suruhuto Town, Nagaland","Suruhuto Town, Nagaland"
5268,2013-08-04 00:00:00,2013,8,216,India,IN,Nāgāland,Nagaland,True,26.0137,94.5163,landslide,continuous_rain,medium,unknown,,,"Zunheboto, Nagaland","Zunheboto, Nagaland"
5275,2013-08-04 00:00:00,2013,8,216,India,IN,Nāgāland,Nagaland,True,26.1498,94.6055,landslide,monsoon,medium,unknown,,,"Suruhuto Town, Nagaland","Suruhuto Town, Nagaland"
5263,2013-08-04 23:00:00,2013,8,216,India,IN,Kerala,Kerala,False,9.9995,77.0309,landslide,monsoon,medium,unknown,2.0,,"Kunjuthanni, Idukki, Kerala","Kunjuthanni, Idukki, Kerala"
5285,2013-08-05 00:00:00,2013,8,217,India,IN,Uttarakhand,Uttarakhand,False,29.5659,80.3657,landslide,monsoon,medium,unknown,1.0,1.0,"Jhulaghat Area Of Pithoragarh District, Uttarakhand","Jhulaghat Area Of Pithoragarh District, Uttarakhand"
5284,2013-08-05 00:00:00,2013,8,217,India,IN,Kerala,Kerala,False,10.3228,76.4319,landslide,monsoon,medium,unknown,1.0,,"Nairpara, Kerala","Nairpara, Kerala"
5282,2013-08-05 00:00:00,2013,8,217,India,IN,Kerala,Kerala,False,9.8957,76.9346,landslide,monsoon,medium,unknown,1.0,,"Maniyarankudy, Kerala","Maniyarankudy, Kerala"
5283,2013-08-05 00:00:00,2013,8,217,India,IN,Kerala,Kerala,False,9.8539,76.9468,landslide,monsoon,medium,unknown,1.0,,"Painavu, Kerala","Painavu, Kerala"
5281,2013-08-05 00:00:00,2013,8,217,India,IN,Kerala,Kerala,False,10.0486,76.7606,landslide,unknown,medium,unknown,0.0,,"Villanchira, Near Neryamangalam","Villanchira, Near Neryamangalam"
